idno;cntry;nwspol;netusoft;netustm;ppltrst;pplfair;pplhlp;polintr;psppsgva;actrolga;psppipla;cptppola;trstprl;trstlgl;trstplc;trstplt;trstprt;trstep;trstun;vote;contplt;wrkprty;wrkorg;badge;sgnptit;pbldmn;bctprd;pstplonl;clsprty;prtdgcl;lrscale;stflife;stfeco;stfgov;stfdem;stfedu;stfhlth;gincdif;mnrgtjb;freehms;hmsfmlsh;hmsacld;euftf;imsmetn;imdfetn;impcntr;imbgeco;imueclt;imwbcnt;happy;sclmeet;inprdsc;sclact;crmvct;aesfdrk;health;hlthhmp;atchctr;atcherp;hinctnta;hincfel;Random;
551600537;EE;80;1;6666;5;5;5;3;1;1;1;1;5;5;8;4;2;2;2;3;2;2;2;2;2;2;2;2;2;6;5;6;5;4;4;5;2;1;3;3;3;3;0;4;4;4;4;4;4;5;7;2;2;2;1;2;3;4;0;1;2;0,553930529;
1186;CH;990;5;30;8;7;5;2;4;2;4;4;7;9;8;7;6;7;5;1;2;2;2;2;1;2;1;2;2;6;4;10;7;8;8;8;7;4;4;2;5;5;5;1;2;2;88;7;5;10;6;4;2;1;2;2;3;8;8;8;1;0,753717374;
10001297;DE;15;5;690;5;5;5;3;1;5;1;4;2;7;7;0;0;0;1;1;2;2;2;2;1;2;1;2;1;2;5;7;6;0;5;5;3;2;5;1;5;1;4;2;2;2;6;10;8;88;5;4;8;2;2;4;2;3;10;77;2;0,372062978;
2246;CH;60;5;180;7;8;3;1;4;5;4;4;4;8;9;3;5;0;6;1;2;2;1;1;1;2;1;2;1;1;9;10;8;7;8;8;5;5;4;2;4;4;0;2;3;3;6;2;2;9;6;3;4;2;2;2;3;10;5;9;1;0,816266558;
4358;IS;60;5;240;10;10;7;1;2;4;3;3;2;5;9;1;2;7;7;1;2;2;2;2;1;1;1;1;2;6;5;9;3;0;2;5;4;1;5;3;4;2;5;1;2;2;5;5;5;9;4;3;3;2;1;3;2;9;3;5;3;0,077981336;
726;IE;45;5;120;5;7;8;3;2;2;2;8;7;8;9;6;5;8;88;2;2;2;2;2;1;2;2;2;2;6;88;7;8;8;8;88;6;2;2;2;4;5;6;2;3;4;6;5;8;6;5;2;3;2;3;1;2;7;7;3;2;0,913876013;
10007062;DE;30;2;6666;2;3;3;3;1;1;2;1;2;3;5;2;0;88;88;1;2;2;2;2;2;2;2;2;2;6;5;8;7;6;5;8;9;1;5;2;5;2;5;1;2;2;5;8;6;9;4;5;4;2;3;3;2;9;9;4;2;0,185032585;
1572;AT;15;3;6666;4;3;3;2;2;2;2;2;5;6;6;5;5;4;5;1;2;2;2;2;1;2;2;2;1;2;4;9;4;5;5;7;6;1;5;1;5;2;5;2;2;2;5;6;6;9;5;4;4;2;2;2;3;8;7;6;1;0,462907149;
1868;RU;30;1;6666;2;2;5;2;1;1;2;1;1;2;4;1;1;1;1;1;2;2;2;2;2;2;2;2;1;3;77;0;1;1;2;4;2;2;4;5;1;5;88;1;3;3;1;3;0;5;4;4;5;2;2;2;3;3;1;1;4;0,888212096;
2978;AT;90;1;6666;5;7;9;1;2;2;1;1;8;8;9;5;6;5;4;1;2;2;2;2;2;2;2;2;1;1;6;8;8;7;10;6;10;4;2;4;4;1;5;2;2;2;8;5;2;9;6;1;1;2;2;1;3;10;9;4;2;0,791002299;
