Comission;Voters;Com_Ballots;Home_Ballots;Home_B_Box;Com_B_Box;Absentee;Invalid;Rodina;Kommunisty_Rossii;Pensionery;United_Russia;Zelenye;Civic_Platform;LDPR;PARNAS;Partiia_Rosta;Civic_Power;YABLOKO;KPRF;Patriots_of_Russia;A_Just_Russia
PEC ¹540;194;59;1;0;59;0;1;0;0.0508;0.0169;0.2542;0.0169;0;0.3898;0;0;0;0.0339;0.1695;0;0.0678
PEC ¹356;50;26;1;0;26;0;1;0;0.2692;0;0.2692;0;0;0.1923;0;0;0;0.1154;0.0385;0;0.1154
PEC ¹249;110;46;9;9;46;0;1;0.0364;0.0182;0.0364;0.3091;0;0;0.2727;0;0.0364;0;0;0.1273;0.0182;0.1273
PEC ¹124;51;16;28;28;16;0;1;0.0682;0.0227;0.0227;0.3409;0.0909;0.0227;0.1818;0.0227;0;0;0.0682;0.0227;0.0227;0.0909
PEC ¹258;49;21;5;5;21;0;1;0;0;0;0.3462;0;0;0.5385;0;0.0385;0;0;0.0385;0;0
PEC ¹123;46;42;4;4;42;0;1;0;0.0652;0.0217;0.3478;0.0217;0;0.087;0;0;0;0.1087;0.2391;0.0217;0.0652
PEC ¹426;150;61;6;6;61;0;1;0.0149;0.0299;0;0.3582;0;0;0.2836;0;0;0.0149;0;0.2239;0.0149;0.0597
PEC ¹485;110;36;3;3;36;0;1;0;0;0.0256;0.359;0.0256;0;0.3846;0.0513;0;0;0;0.0769;0;0.0513
PEC ¹480;175;51;22;22;51;0;1;0.0137;0;0;0.3699;0;0;0.3425;0;0.0274;0;0.0959;0.0685;0.0274;0.0548
PEC ¹437;241;71;18;18;71;0;1;0;0.0225;0;0.3933;0.0112;0.0112;0.2584;0;0.0225;0;0.0562;0.1011;0.0112;0.1124
PEC ¹255;93;33;5;5;33;0;1;0;0;0;0.3947;0;0;0.2632;0;0;0;0.0263;0.1842;0;0.1316
PEC ¹330;84;35;2;2;35;0;1;0.027;0;0.0811;0.4054;0;0;0.1892;0;0;0;0.0541;0.1622;0;0.0541
PEC ¹251;169;72;4;4;72;0;1;0.0132;0.0395;0.0132;0.4079;0;0;0.2237;0;0.0132;0;0.0132;0.1579;0.0132;0.1053
PEC ¹354;134;50;14;14;50;0;1;0.0156;0.0625;0.0156;0.4219;0;0.0156;0.125;0;0.0625;0.0313;0.0781;0.0625;0.0156;0.0781
PEC ¹303;558;227;19;19;227;0;1;0.0122;0.0569;0.0163;0.4268;0.0163;0.0122;0.1951;0;0.0041;0.0041;0.0285;0.1707;0;0.0569
PEC ¹477;199;84;1;0;84;0;1;0.0119;0.0476;0.0238;0.4286;0.0119;0;0.2143;0;0.0119;0.0119;0.0119;0.1071;0;0.1071
PEC ¹198;130;60;5;5;60;0;1;0;0.0154;0;0.4308;0.0154;0.0154;0.2154;0;0.0154;0;0.0923;0.1231;0;0.0769
PEC ¹253;228;82;3;3;82;0;1;0;0.0235;0.0235;0.4353;0;0;0.2353;0.0118;0;0;0;0.1176;0.0235;0.1176
PEC ¹169;1151;358;7;7;358;0;1;0.0055;0.0247;0.0274;0.4493;0.0055;0.0027;0.2164;0.0137;0.0082;0.0027;0.011;0.1233;0.0027;0.1041
PEC ¹539;119;29;3;3;29;0;1;0;0.0938;0.0313;0.4688;0;0;0.125;0.0313;0;0;0.0313;0.0938;0;0.0938
PEC ¹499;101;49;2;2;49;0;1;0;0.0588;0.0196;0.4706;0;0;0.2353;0;0.0392;0;0.0196;0.098;0;0.0588
PEC ¹308;254;130;10;10;130;0;1;0;0.0214;0;0.4857;0;0.0071;0.2429;0;0.0071;0;0;0.1714;0;0.0643
PEC ¹304;154;76;1;0;76;0;1;0;0.0395;0.0132;0.5;0;0;0.3158;0;0;0;0.0132;0.0921;0;0.0132
PEC ¹562;27;17;9;9;17;0;1;0;0;0;0.5;0.0385;0.0385;0.1154;0;0.0385;0;0.0385;0.1154;0;0.1154
PEC ¹495;88;26;20;20;26;0;1;0.0217;0;0.0435;0.5;0;0;0.1957;0;0;0;0.0435;0.1522;0;0.0435
PEC ¹386;278;95;6;6;95;0;1;0;0.0297;0.0099;0.505;0;0;0.1188;0.0099;0.0297;0.0198;0.0792;0.0792;0.0198;0.0891
PEC ¹411;198;49;4;4;49;0;1;0;0.0189;0.0943;0.5094;0;0;0.2075;0;0.0377;0;0;0.0755;0;0.0377
PEC ¹199;210;83;13;13;83;0;1;0;0;0.0625;0.5104;0;0;0.25;0;0;0.0104;0.0417;0.0625;0;0.0521
PEC ¹306;233;79;21;21;79;0;1;0.02;0.03;0;0.53;0;0.01;0.27;0;0;0;0;0.1;0;0.04
PEC ¹283;102;28;4;4;28;0;1;0.0625;0.0313;0;0.5313;0;0;0.125;0;0;0;0;0.125;0;0.0938
PEC ¹357;286;69;51;51;69;0;1;0;0;0.0083;0.5333;0.0167;0;0.175;0.025;0;0;0.0667;0.0917;0;0.0833
PEC ¹254;191;73;18;18;73;0;1;0;0;0.011;0.5385;0.011;0.011;0.2088;0;0;0;0;0.0659;0.033;0.1099
PEC ¹204;176;53;28;28;53;0;1;0.0123;0.0123;0.0123;0.5432;0.0123;0;0.3333;0;0;0;0.037;0.0247;0.0123;0
PEC ¹483;175;57;5;5;57;0;1;0.0323;0.0161;0;0.5484;0;0;0.1452;0;0;0;0;0.1452;0.0161;0.0968
PEC ¹125;42;37;3;3;37;0;1;0;0;0.025;0.55;0.025;0.025;0.125;0;0.025;0;0.075;0.075;0.025;0.05
PEC ¹408;191;90;10;10;90;0;1;0;0.01;0;0.57;0;0;0.25;0;0;0.01;0;0.11;0.01;0.03
PEC ¹434;113;39;10;10;39;0;1;0.0204;0.0204;0;0.5714;0;0;0.0816;0;0;0;0.0408;0.0816;0;0.1837
