Gender;Age;Satisfaction;Participation;Vote;Duma;Violation;Observers;Obs_elections;Trust_Putin;Protest;Education;FO;Region;wes_total_reg
2;71;4;1;5;6;1;1;1;1;1;4;6;66;0.549346331
2;61;1;1;1;7;2;3;2;2;1;4;6;86;0.225139954
2;18;1;1;5;1;1;1;1;1;2;2;6;74;0.873615021
1;46;4;1; ;6;3;1;2;1;2;6;6;86;0.94655134
2;51;3;1; ;1;1;1;1;1; ;4;6;72;0.788140246
1;55;4;2;5;9;3;3;1;1;2;4;6;72;0.910145519
2;35;1;1; ;1;1;1;1;1; ;6;6;66;0.884248142
1;53;5;1;5;1; ;1;2;1;2;3;6;66;1.332183367
2;28;1;1;5;9;1;1;2;1;2;2;6;86;0.506670714
1;23;3;5; ;2;2; ;3;2;1;4;6;72;1.196135229
2;24;2;3; ;9; ; ;1;2; ;4;6;86;0.873615021
2;65;3;1; ;7;1;1;1;1;2;4;6;66;1.155252764
1;28;4;3; ;1;2;1;1;1;1;4;6;86;0.424498958
1;55; ;1; ; ;1;1;2; ; ;3;6;74;5.711457884
1;33;2;2;5;9; ;3;2;1;2;6;6;66;0.636748438
1;30;1;1; ; ;3;1;2;1;2;2;6;86;1.273496875
2;37;1;1;5;1;1;1;1;1;2;6;6;66;0.621356407
2;40;3;1; ;3; ;1;1; ;1;6;6;86;0.516945067
2;30;4;1;5;9;1;3;1;1; ;6;6;66;0.609881415
1;43;3;1;4;9;3;3; ;2;1;4;6;66;1.015403591
2;59;4;1;2;2;1;2;2;2;1;2;6;72;0.539512206
2;52;2;1;5;1;1;1;2;1;1;6;6;74;0.884125408
2;45;3;1;5;3;1;1;2;1;2;2;6;89;0.788140246
2;51;3;1;5;6;1;1;1;1;2;4;6;66;0.884125408
2;55;2;1;5; ;1;1;2;1;2;4;6;66;1.196995405
2;20;1;2;5;1;1;1;2;1;2;4;6;66;1.956348455
1;26;1;2;5;1;3;1;2;1;2;4;6;86;11.74928479
2;46;1;2;5;9;1;1;2;1;2;4;6;66;0.622162324
1;41;1;1;5;1;1;1;1;1;2;2;6;66;1.015403591
1;30;3;5; ;3;1; ;2;2;2;4;6;66;0.636748438
1;31;3;1; ;1; ;3;1;1; ;6;6;86;0.636748438
1;20;2;2;1;1;1;1;2;1;1;5;6;66;0.598067615
2;65;1;1;5;1; ; ;1;1;2;4;6;66;0.549346331
2;56;3;1; ;9;1;1;2; ;2;4;6;66;0.623098604
1;58;1;1; ;3;1;1;2;1;1;2;6;86;0.640472773
2;61;3;1;5;1;1;1;2;1;2;6;6;66;0.475698934
2;37;3;2; ;9;1;1;2;1;2;4;6;66;0.621356407
1;37;5;5; ;9; ;3;2;2;2;4;6;72;0.419405831
2;64;3;1; ; ;2; ;2;1;2;6;6;74;1.196995405
1;20;2;3;5;9; ; ;1;1;1;2;6;74;0.398711743
2;18;2;2;4;9;3;1;2;1;1;5;6;74;2.259444695
2;38;3;2;4;9; ;2;2;1;1;2;6;74;1.244497385
2;28;1;1;5;3;3;1;1;1;2;6;6;74;0.725164835
2;61;2;1;5;1;1;3;2;1;2;2;6;72;0.475698934
1;29;1;1;5;3; ;1;2;1;1;2;6;66;1.273496875
2;39;3;1; ;2; ;1;1; ;2;6;6;47;0.26740268
2;65;4;1;5;1;1;1; ;1;1;2;6;74;0.549346331
2;24;4;1; ;9;2; ;1;1;2;4;6;66;0.510728781
2;52;4;2;5;2;1;1;1; ;1;4;6;66;0.884125408
1;33;1;1;5;1;1;1;1;1;2;4;6;72;1.273496875
2;69;2;1;3;6; ; ;1;1;1;6;6;66;0.82083749
1;52;1;1;5;1;1;1;1;1;2;6;6;72;0.94655134
1;26;4;1; ;1;1;1;2;1;1;5;6;74;1.273496875
2;34;2;1;4;1;1;1; ;1;2;6;6;72;1.255773251
1;31;4;2;1;9;3;3;2;2;1;6;6;86;1.273496875
2;46;1;1;4;6;1;1;2;1;1;4;6;66;0.893866376
2;65;3;1; ;6; ;1;1; ;2;6;6;74;0.479874225
1;29;2;1;4;2;2;1;1;2;1;6;6;66;0.636748438
1;18;2;2;1;9;2;3;1;1;2;5;6;66;0.398711743
1;37;4;1;5;9; ;1;1;1;1;4;6;86;0.714543268
2;44;2;1;5;1;1;1;1;1;2;4;6;74;0.622248692
2;52;3;1;5;1; ;1;1;1;2;6;6;74;0.958131279
2;48;1;5;5;9; ; ;1;1;2;6;6;72;0.622162324
2;65;1;1;5;1;1;1;2;1;2;4;6;86;0.442156803
2;41;1;1;5;9;1;1;1;1;2;3;6;86;1.244497385
1;25;2;1;5;1; ;1;1;1;2;2;6;89;1.273496875
1;67;4;1; ;3; ; ;2; ;1;3;6;66;0.510567309
2;29;1;1; ;1;1;1;2;1;1;6;6;74;0.86667359
2;42;2;5; ;9; ; ;1;1;2;4;6;45;0.911990856
1;58;4;1;5;1;2;1;1;1;2;2;6;86;0.598343207
1;64;1;1;4;7;2;3;3;2;2;6;6;74;0.810658538
2;44;2;1;5;1;1;1;2;1;1;6;6;72;0.554347383
2;36;4;2; ;6; ;1;2;2;2;4;6;72;0.884248142
2;59;3;1;5;9; ;1;2;1;2;6;6;72;0.850496735
2;62;3;1; ;6; ;1;2; ;2;6;6;66;0.237849467
2;29;3;1;5;1;3;1;1;1;1;4;6;66;0.86667359
1;27;4;1;5;1;1;1;1;1;1;1;6;72;1.273496875
2;22;2;1; ;3;3;1; ;1;1;6;6;66;1.724952401
2;44;5;2; ;3; ;1;1;1;1;2;6;66;1.244497385
1;37;2;1;5;9; ;1;1;1;2;4;6;66;0.714543268
1;26;4;1;5;9;3;1;1; ;2;4;6;74;2.364185354
2;29;4;2;4;9; ;1;2;2;2;6;6;66;0.673028801
2;38;3;4; ;2;1;3;2; ;2;4;6;74;0.884248142
2;38;3;2; ;1;1;1;2; ;2;4;6;72;1.158676907
1;65;1;1; ;1;3;1;2;1;2;6;6;74;0.928191508
1;60;4;2; ;9; ; ;1;1;2;6;6;66;0.566000331
2;59;1;1; ;1;1;3;2;1;2;3;6;74;0.777269743
2;56;4;1;5;1;1;1;2;1;2;4;6;72;0.598497702
2;50;3;1;5;1;1;3;2;1;2;4;6;74;0.788140246
2;26;5;2;5;9;1;1;2;1;2;6;6;66;1.21976283
1;18;4;1; ;2;1;1;2; ;2;2;6;66;0.849885558
2;46;5;1; ;3;1; ;2; ;2;4;6;74;0.788140246
2;23;2;3; ;6;2;2;1;2;1;6;6;72;1.724952401
1;38;3;2; ; ;2;2;2;2;2;4;6;86;2.165376691
2;37;3;1;5;1; ;1;1;1;1;4;6;74;0.414832462
1;43;4;5;5;9; ;3;2;1;2;3;6;66;0.714543268
2;62;2;1;5;1;1;1;1;1;1;6;6;66;0.475698934
2;23;1;3;3;9; ;3;2;1;1;6;6;86;0.873615021
2;38;1;1;5;1;1;1;1;1;2;4;6;74;1.244497385
1;18;1;2;1;3; ;1;1;1;2;3;6;72;0.598067615
2;58;4;1;5;1;1;1;2;1;2;4;6;74;0.475698934
1;40;3;1;2;2;2;2;1;1; ;4;6;66;1.429086536
2;50;3;1;5;1;1;1;2;1; ;6;6;74;0.536974673
2;21;2;3;2;9;1;2;2;1; ;5;6;74;1.229532252
2;52;2;1;5;1;1;1;1;1;1;4;6;86;0.958131279
1;56;2;1;5;1;1;1;1;1;2;3;6;66;1.280945545
1;19;1;2;5;1;2;2;1;1;2;3;6;66;0.598067615
2;25;3;2; ; ;2;1;2;2;1;6;6;74;0.86667359
2;50;4;1;5;1; ;1;1;1;2;6;6;72;0.788140246
2;69;1;1;5;1;3; ;1;1;2;4;6;86;0.549346331
2;40;2;1;5;1; ;1;2;1;1;2;6;66;1.108694766
2;66; ;1;5;6;1; ;2;1;2;4;6;74;0.389858686
2;29;2;1;5;9;3;1;1;1;2;6;6;86;1.255773251
1;66;2;1;5;1;1;1;2;1;2;1;6;72;1.306343604
2;83;3;1;5;1; ; ; ; ;2;1;6;74;1.155252764
1;23;2;1; ;3; ;3;2;1;2;3;6;66;1.196135229
2;48;1;2; ;2; ;1;1;1;2;4;6;72;0.788140246
1;35;2;1;5;1;1;1;1;1;2;4;6;66;1.429086536
2;33;2;2;3;9;3;3;1;2;1;6;6;74;1.346057602
2;48;4;1; ;1;1;1;1;1;2;4;6;72;0.884125408
2;56;5;5; ;9;3;1;2;1;2;1;6;74;1.196995405
1;73;4;1;3;6;3;3; ;2;2;2;4;23;0.731264145
1;20;1;1;5;9; ; ;2;1; ;4;6;74;1.416665534
2;78;5;1;2;2;2;2;2;2;1;6;4;23;0.389858686
1;77;5;1; ; ; ;1;2;1;2;2;4;34;0.539742584
2;75;3;1;5;1; ;1;1;1;2;4;6;72;0.28775284
2;24;2;1;4;3;2;2;1; ;1;6;6;66;0.873615021
2;21;2;2;3;9; ;1;1;1; ;5;6;66;1.724952401
2;50;2;1;5;1;1;1;1;1;2;4;6;66;0.414774883
2;23;1;2;4; ; ;1;2; ;2;5;6;74;1.724952401
2;68;5;5;5;9; ; ;1;1;2;6;4;61;0.389858686
2;37;1;2;5;1; ;1; ;1;2;4;6;72;0.516945067
