Comission;Voters;Com_Ballots;Home_Ballots;Home_B_Box;Com_B_Box;Invalid;Rodina;Kommunisty_Rossii;Pensionery;United_Russia;Zelenye;Civic_Platform;LDPR;PARNAS;Partiia_Rosta;Civic_Power;YABLOKO;KPRF;Patriots_of_Russia;A_Just_Russia
”»  π1;2948†;2767†;14†;14†;2767†;1†;0.0040;0.0011;0.0022;0.9561;0.0093;0.0000;0.0004;0.0000;0.0047;0.0029;0.0007;0.0000;0.0004;0.0180
”»  π2;2507†;2365†;13†;13†;2365†;1†;0.0042;0.0067;0.0000;0.9504;0.0071;0.0000;0.0000;0.0000;0.0063;0.0008;0.0000;0.0004;0.0000;0.0235
”»  π3;2691†;2554†;12†;12†;2554†;2†;0.0023;0.0047;0.0008;0.9571;0.0117;0.0004;0.0000;0.0000;0.0047;0.0016;0.0004;0.0000;0.0000;0.0156
”»  π4;1722†;1581†;11†;11†;1581†;0†;0.0019;0.0013;0.0025;0.9617;0.0113;0.0019;0.0000;0.0000;0.0044;0.0006;0.0000;0.0000;0.0006;0.0138
”»  π5;2492†;2369†;12†;12†;2369†;2†;0.0004;0.0046;0.0000;0.9509;0.0143;0.0000;0.0004;0.0000;0.0021;0.0013;0.0008;0.0000;0.0004;0.0239
”»  π6;1345†;1280†;6†;6†;1280†;0†;0.0070;0.0054;0.0023;0.9635;0.0070;0.0000;0.0000;0.0000;0.0047;0.0000;0.0000;0.0008;0.0000;0.0093
”»  π7;1735†;1640†;7†;7†;1640†;1†;0.0030;0.0024;0.0006;0.9660;0.0128;0.0006;0.0000;0.0000;0.0036;0.0043;0.0006;0.0000;0.0000;0.0055
”»  π8;1342†;1249†;4†;4†;1249†;1†;0.0088;0.0080;0.0032;0.9385;0.0144;0.0000;0.0008;0.0000;0.0024;0.0040;0.0008;0.0000;0.0008;0.0176
”»  π9;718†;685†;3†;3†;685†;0†;0.0087;0.0087;0.0029;0.9157;0.0218;0.0000;0.0000;0.0000;0.0073;0.0044;0.0000;0.0000;0.0015;0.0291
”»  π10;1739†;1640†;7†;7†;1640†;1†;0.0024;0.0067;0.0006;0.9666;0.0067;0.0000;0.0000;0.0000;0.0012;0.0018;0.0000;0.0012;0.0000;0.0121
”»  π11;1553†;1457†;6†;6†;1457†;1†;0.0014;0.0062;0.0007;0.9604;0.0089;0.0007;0.0000;0.0000;0.0027;0.0014;0.0007;0.0000;0.0007;0.0157
”»  π12;1064†;979†;3†;3†;979†;0†;0.0031;0.0081;0.0000;0.9735;0.0041;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0031;0.0010;0.0071
”»  π13;1151†;1064†;4†;4†;1064†;1†;0.0037;0.0047;0.0019;0.9813;0.0009;0.0009;0.0000;0.0000;0.0009;0.0000;0.0000;0.0019;0.0009;0.0019
”»  π14;1228†;1177†;6†;6†;1177†;1†;0.0017;0.0051;0.0000;0.9552;0.0085;0.0000;0.0008;0.0000;0.0025;0.0017;0.0000;0.0000;0.0017;0.0220
”»  π15;1283†;1213†;5†;5†;1213†;0†;0.0049;0.0082;0.0008;0.9581;0.0074;0.0000;0.0000;0.0000;0.0016;0.0008;0.0000;0.0025;0.0008;0.0148
