"","country_name","country_text_id","e_fh_status","e_wbgi_cce","e_wbgi_gee","e_ti_cpi","e_regionpol","e_regionpol_6C","v2xel_frefair","v2elirreg","v2elfrcamp","v2elfrfair","v2eldommon","v2elintmon","v2regimpgroup","v2clkill","v2clacfree","v2csreprss","v2mecenefm","v2mecenefi","v2mecrit","v2mefemjrn","v2meslfcen","v2mecorrpt","v2exl_legitlead","v2cagenmob","v2caprotac","v2cafres","v2cainsaut","v2cacritic","v2x_regime","v2x_accountability","v2x_neopat","v2xnp_client","v2xnp_pres","v2xnp_regcorr","v2x_civlib","v2x_clpol","v2x_clpriv","v2x_rule","v2xcs_ccsi","v2x_freexp","v2xcl_disc","v2xme_altinf","v2smgovdom","v2smgovab","v2smgovfilcap","v2smgovfilprc","v2smgovshutcap","v2smgovshut","v2smgovsm","v2smgovsmalt","v2smgovsmmon","v2smgovsmcenprc","v2smregcap","v2smorgavgact","v2smarrest"
"1","Mexico","MEX",2,-0.848,-0.155,31,2,2,0.778,NA,NA,NA,NA,NA,3,0.577,1.699,1.09,-0.173,1.427,1.32,34,0.753,1.26,0.721,-0.514,1,1.836,1.863,1.723,2,0.937,0.46,0.439,0.324,0.479,0.712,0.788,0.857,0.514,0.817,0.722,0.825,0.804,-1.631,1.132,-0.238,1.622,-1.257,1.776,1.798,1.014,0.511,1.199,-0.245,1.46,1.77
"2","Suriname","SUR",1,-0.434,-0.539,38,10,2,0.855,1.396,-0.605,1.741,1,1,4,2.02,1.481,1.935,0.73,1.321,1.192,40.75,0.602,0.91,0.925,0.103,0,1.535,0.692,0.371,2,1.362,0.229,0.604,0.11,0.211,0.877,0.892,0.873,0.773,0.932,0.839,0.899,0.874,0.535,0.606,-0.644,1.022,-1.152,1.694,1.761,1.315,1.046,1.251,-0.489,0.28,0.364
"3","Sweden","SWE",1,2.128,1.719,85,5,5,0.952,NA,NA,NA,NA,NA,2,3.347,3.263,3.085,3.471,2.215,3.177,54,2.058,3.231,-2.929,-2.321,1,2.364,1.677,2.592,3,1.949,0.012,0.05,0.016,0.003,0.969,0.973,0.951,0.994,0.977,0.968,0.911,0.962,2.547,2.226,-0.596,2.108,-1.822,1.862,1.899,2.146,2.885,2.08,0.605,0.996,2.546
"4","Switzerland","CHE",1,2.079,2.02,85,5,5,0.935,NA,NA,NA,NA,NA,3,3.066,2.962,2.812,3.166,2.049,2.344,40.714,3.026,2.977,-1.847,-0.352,1,2.448,1.487,1.511,3,1.847,0.015,0.062,0.013,0.012,0.948,0.98,0.889,0.996,0.95,0.987,0.971,0.937,2.669,2.478,-0.844,2.307,-3.067,1.728,1.836,2.021,1.975,1.932,0.899,0.512,2.385
"5","Ghana","GHA",1,-0.116,-0.153,43,4,4,0.76,0.187,2.092,0.36,1,1,3,1.692,1.699,2.012,2.084,1.816,1.822,44.286,1.231,1.246,-0.861,2.467,0,1.541,1.541,2.054,3,1.265,0.361,0.609,0.142,0.714,0.904,0.916,0.926,0.587,0.956,0.878,0.944,0.855,1.219,1.629,1.69,1.293,1.229,1.285,1.664,1.285,0.93,1.09,-0.609,0.607,1.037
"6","South Africa","ZAF",1,0.064,0.299,44,4,4,0.743,NA,NA,NA,NA,NA,2,0.675,2.057,1.241,0.915,1.65,2.481,46.833,1.015,1.275,-0.598,-0.12,1,0.938,1.566,2.883,2,1.198,0.225,0.386,0.133,0.314,0.822,0.871,0.8,0.748,0.89,0.818,0.837,0.893,0.849,1.492,0.237,1.452,0.034,0.592,1.626,0.505,0.901,1.973,0.271,1.094,1.621
"7","Japan","JPN",1,1.496,1.596,74,6,6,0.935,NA,NA,NA,NA,NA,12,3.066,2.273,2.92,1.396,1.898,1.963,25.143,0.978,2.873,-1.498,-2.038,1,0.501,0.607,1.507,3,1.533,0.134,0.188,0.135,0.111,0.928,0.933,0.888,0.949,0.951,0.892,0.907,0.861,0.851,0.907,0.909,1.796,-0.425,1.815,1.858,1.07,1.598,1.661,0.704,0.407,2.281
"8","Burma/Myanmar","MMR",3,-0.654,-0.997,28,7,6,0.513,0.226,0.949,0.684,1,1,9,0.901,0.333,1.199,1.054,1.126,0.662,39.286,0.483,1.894,0.182,0.102,1,-0.194,-0.09,0.774,1,0.684,0.442,0.378,0.416,0.305,0.569,0.691,0.37,0.602,0.673,0.689,0.751,0.718,0.849,0.735,1.649,-0.229,1.719,-0.983,-0.541,-1.352,-0.408,-0.726,0.846,0.599,-0.991
"9","Russia","RUS",3,-0.911,0.033,30,1,1,0.335,NA,NA,NA,NA,NA,9,-1.196,-0.715,-0.562,-1.671,-0.491,-0.466,51.909,-0.57,-1.687,1.937,-0.128,1,-0.289,-0.552,0.366,1,-0.237,0.859,0.477,0.894,0.718,0.43,0.342,0.695,0.18,0.328,0.329,0.612,0.278,-2.724,-2.153,2.051,-0.672,0.303,-0.065,0.113,-0.404,-1.527,-0.938,1.903,1.785,-0.886
"10","Albania","ALB",2,-0.54,-0.136,36,1,1,0.489,NA,NA,NA,NA,NA,2,2.958,0.887,1.359,-0.445,-0.223,0.049,57.333,0.368,-0.003,0.537,-0.347,1,1.505,0.501,1.122,1,0.785,0.53,0.759,0.243,0.842,0.855,0.763,0.908,0.498,0.849,0.674,0.883,0.616,-0.595,-0.202,0.561,0.189,-0.786,0.806,1.582,0.562,-0.151,0.912,0.854,0.966,1.25
"11","Egypt","EGY",3,-0.814,-0.545,33,3,3,0.116,-1.434,-0.653,-2.171,1,1,2,-1.453,-1.737,-1.355,-1.326,-1.143,-1.071,32.75,-1.258,-0.913,2.426,-0.546,1,-1.679,-2.378,-2.479,1,-0.549,0.641,0.631,0.492,0.675,0.223,0.152,0.363,0.318,0.19,0.143,0.169,0.211,-2.351,-1.463,1.951,-1.706,0.773,-1.033,-1.441,-1.159,-1.254,-1.19,1.332,0.36,-2.387
"12","Yemen","YEM",3,-1.68,-2.308,15,3,3,0,NA,NA,NA,NA,NA,NA,-1.972,-1.805,-0.87,-2.204,-1.603,-1.078,15.667,-0.695,-0.828,1.098,-0.185,0,-1.486,-0.765,-0.397,0,-0.801,0.946,0.829,0.874,0.951,0.112,0.189,0.062,0.049,0.239,0.124,0.233,0.175,-2.543,-3.116,1.577,-2.1,1.304,-1.311,-1.226,0.86,-1.415,-1.97,0.076,0.64,-2.073
"13","Colombia","COL",2,-0.182,0.04,39,2,2,0.786,NA,NA,NA,NA,NA,5,-0.874,0.687,1.171,1.237,0.653,1.359,50,1.186,1.297,-1.911,1.534,1,0.347,1.036,1.439,2,1.005,0.271,0.668,0.13,0.348,0.659,0.8,0.677,0.689,0.761,0.622,0.376,0.769,-1.042,-1.028,0.123,-0.477,-0.905,0.841,0.849,1.335,-1.273,-0.398,1.375,2.118,0.541
"14","Poland","POL",1,0.651,0.376,56,1,1,0.776,0.867,1.414,0.358,1,1,10,1.746,0.552,0.775,0.334,1.447,0.483,43,0.679,1.036,-0.747,3.57,1,1.561,1.463,2.201,2,0.831,0.236,0.204,0.335,0.089,0.84,0.786,0.84,0.803,0.718,0.723,0.825,0.656,-0.189,0.731,-0.741,2.199,-1.094,1.775,1.824,1.131,0.696,1.139,1.449,2.43,1.237
