Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,5332.16047456847
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.574206959244013
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,37207.4938608348
Andorra,AND,Population growth (annual %),SP.POP.GROW,1.76189129507448
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,4505.86736397124
Armenia,ARM,Population growth (annual %),SP.POP.GROW,-0.533006606500067
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,48809.2268762243
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.415176731565556
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,4229.91064904503
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,0.684365325388407
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,6542.79749130553
Belarus,BLR,Population growth (annual %),SP.POP.GROW,-0.42347525027949
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,45517.7949301847
Belgium,BEL,Population growth (annual %),SP.POP.GROW,0.430996815099722
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,6012.06276705855
Bosnia and Herzegovina,BIH,Population growth (annual %),SP.POP.GROW,-1.26677102311527
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,10129.8129597638
Bulgaria,BGR,Population growth (annual %),SP.POP.GROW,-0.60024151846542
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,14198.7539594744
Croatia,HRV,Population growth (annual %),SP.POP.GROW,-0.433210220837755
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,28036.189453125
Cyprus,CYP,Population growth (annual %),SP.POP.GROW,0.705573414651573
Czechia,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,22992.8793833348
Czechia,CZE,Population growth (annual %),SP.POP.GROW,0.243222682211879
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,60915.4243995462
Denmark,DNK,Population growth (annual %),SP.POP.GROW,0.291641177476633
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,23595.2436836441
Estonia,EST,Population growth (annual %),SP.POP.GROW,0.197559185177642
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,49170.7521512441
Finland,FIN,Population growth (annual %),SP.POP.GROW,0.143641197212847
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,39055.2829280754
France,FRA,Population growth (annual %),SP.POP.GROW,0.271350507669993
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,4255.74299321254
Georgia,GEO,Population growth (annual %),SP.POP.GROW,0.0686562494680967
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,46772.8253507545
Germany,DEU,Population growth (annual %),SP.POP.GROW,0.0816931586494595
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,17658.9473011192
Greece,GRC,Population growth (annual %),SP.POP.GROW,-0.214592106571664
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,16120.9890495243
Hungary,HUN,Population growth (annual %),SP.POP.GROW,-0.215067837129585
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,59200.1779441092
Iceland,ISL,Population growth (annual %),SP.POP.GROW,1.6230862512591
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,85420.1908556097
Ireland,IRL,Population growth (annual %),SP.POP.GROW,1.02911050277336
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,31911.0357890017
Italy,ITA,Population growth (annual %),SP.POP.GROW,-0.487095091717782
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,9121.63713797145
Kazakhstan,KAZ,Population growth (annual %),SP.POP.GROW,1.29863532544565
