Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,2639008701648.26
France,FRA,Population growth (annual %),SP.POP.GROW,0.271350507669993
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,3889668895299.62
Germany,DEU,Population growth (annual %),SP.POP.GROW,0.0816931586494595
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1896755301518.14
Italy,ITA,Population growth (annual %),SP.POP.GROW,-0.487095091717782
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,909793466661.481
Netherlands,NLD,Population growth (annual %),SP.POP.GROW,0.55554079025497
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1276962685648.25
Spain,ESP,Population growth (annual %),SP.POP.GROW,0.488502131838585
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,739913619797.445
Switzerland,CHE,Population growth (annual %),SP.POP.GROW,0.730676195047382
Turkiye,TUR,GDP (current US$),NY.GDP.MKTP.CD,720289368333.191
Turkiye,TUR,Population growth (annual %),SP.POP.GROW,0.780048417598582
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,15131866270.5936
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.574206959244013
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,435225238000.437
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.415176731565556
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,2891022272.98687
Andorra,AND,Population growth (annual %),SP.POP.GROW,1.76189129507448
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,12641697523.2966
Armenia,ARM,Population growth (annual %),SP.POP.GROW,-0.533006606500067
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,42693000000
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,0.684365325388407
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,61371126414.1663
Belarus,BLR,Population growth (annual %),SP.POP.GROW,-0.42347525027949
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,525211810652.608
Belgium,BEL,Population growth (annual %),SP.POP.GROW,0.430996815099722
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,19950471170.6465
Bosnia and Herzegovina,BIH,Population growth (annual %),SP.POP.GROW,-1.26677102311527
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,70240275010.1964
Bulgaria,BGR,Population growth (annual %),SP.POP.GROW,-0.60024151846542
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,57472012426.6853
Croatia,HRV,Population growth (annual %),SP.POP.GROW,-0.433210220837755
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,25008448886.3507
Cyprus,CYP,Population growth (annual %),SP.POP.GROW,0.705573414651573
Czechia,CZE,GDP (current US$),NY.GDP.MKTP.CD,245974558654.043
Czechia,CZE,Population growth (annual %),SP.POP.GROW,0.243222682211879
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,355222449505.211
Denmark,DNK,Population growth (annual %),SP.POP.GROW,0.291641177476633
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,31370395572.7658
Estonia,EST,Population growth (annual %),SP.POP.GROW,0.197559185177642
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,271891788362.647
Finland,FIN,Population growth (annual %),SP.POP.GROW,0.143641197212847
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,15842922532.7202
Georgia,GEO,Population growth (annual %),SP.POP.GROW,0.0686562494680967
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,188925995936.807
