Region;Turnout;ER;KPRF;LDPR;SR;KR;Yabloko;RPPS;Rodina;PR;Zelenye;PNS;GP;GS
Primorsky Krai;37.43;38.98 ;17.95 ;19.66 ;5.16 ;3.38 ;1.79 ;3.80 ;1.87 ;1.51 ;0.82 ;0.86 ;0.21 ;0.17 
Khabarovsk region;36.93 ;37.31 ;16.46 ;25.01 ;4.52 ;3.31 ;1.85 ;2.99 ;1.60 ;1.11 ;1.22 ;1.13 ;0.23 ;0.17 
Amur region;42.47 ;37.91 ;16.65 ;29.02 ;4.15 ;2.49 ;0.88 ;2.54 ;1.28 ;0.63 ;0.72 ;0.45 ;0.17 ;0.17 
Saha Republic;48.11 ;46.42 ;14.35 ;10.70 ;15.20 ;3.14 ;1.16 ;2.34 ;1.56 ;0.73 ;0.82 ;0.49 ;0.82 ;0.16 
Sakhalin region;37.09 ;44.96 ;15.55 ;20.35 ;3.44 ;3.27 ;1.72 ;3.02 ;1.67 ;1.07 ;0.91 ;0.72 ;0.21 ;0.14 
Kamchatka Krai;39.55 ;46.70 ;12.59 ;21.31 ;4.42 ;2.54 ;1.40 ;2.37 ;1.42 ;1.26 ;0.98 ;0.54 ;0.22 ;0.17 
Magadan Region;40.57 ;44.69 ;14.84 ;19.15 ;7.72 ;2.74 ;1.08 ;2.51 ;1.26 ;1.22 ;0.87 ;0.64 ;0.35 ;0.10 
Jewish Autonomous Region;39.62 ;45.03 ;17.11 ;21.90 ;2.80 ;3.31 ;0.93 ;1.94 ;0.98 ;0.65 ;0.65 ;0.45 ;0.16 ;0.14 
Chukotka Autonomous Region;64.49 ;58.80 ;7.76 ;17.34 ;3.13 ;1.62 ;0.80 ;2.17 ;1.21 ;0.70 ;0.81 ;0.39 ;0.19 ;0.13 
Krasnoyarsk region;36.67 ;40.45 ;14.41 ;20.26 ;4.86 ;3.06 ;1.57 ;2.20 ;1.84 ;1.02 ;1.15 ;0.77 ;0.26 ;0.16 
Irkutsk region;32.92 ;39.80 ;24.05 ;17.02 ;5.18 ;3.08 ;1.43 ;1.94 ;1.46 ;1.24 ;0.89 ;0.87 ;0.30 ;0.13 
