Region;Number_of_voters;Absentee_Ballots;Station_Ballots;Home_Ballots;Home_Box_Ballots;Station_Box_Ballots;Invalid_votes;Valid_votes;Baburin_votes;Baburin_percent;Grudinin_votes;Grudinin_percent;Zhirinovskii_votes;Zhirinovskii_percent;Putin_votes;Putin_percent;Sobchak_votes;Sobchak_percent;Suraikin_votes;Suraikin_percent;Titov_votes;Titov_percent;Yavlinskii_votes;Yavlinskii_percent
Republic of Adygea (Adygea);336720 ;0 ;235040 ;15183 ;15182 ;235021 ;2647 ;247556 ;1165 ;0.0047;28711 ;0.1148;8923 ;0.0357;203095 ;0.8117;2060 ;0.0082;1317 ;0.0053;1088 ;0.0043;1197 ;0.0048
Altai Republic;158785 ;1186 ;97103 ;4630 ;5816 ;97096 ;974 ;101938 ;446 ;0.0043;21259 ;0.2066;5376 ;0.0522;72674 ;0.7062;929 ;0.009;431 ;0.0042;340 ;0.0033;483 ;0.0047
Republic of Bashkortostan;3045698 ;0 ;2186576 ;111258 ;111248 ;2185854 ;18506 ;2278596 ;15845 ;0.0069;277797 ;0.1209;115635 ;0.0503;1784626 ;0.7769;28983 ;0.0126;20429 ;0.0089;15891 ;0.0069;19390 ;0.0084
The Republic of Buryatia;603265 ;4473 ;419475 ;29706 ;34175 ;419428 ;5980 ;447623 ;1746 ;0.0038;66867 ;0.1474;29087 ;0.0641;334381 ;0.7372;7618 ;0.0168;2471 ;0.0054;1822 ;0.004;3631 ;0.008
The Republic of Dagestan;1637459 ;0 ;1400780 ;32065 ;32067 ;1400216 ;6865 ;1425418 ;1781 ;0.0012;104288 ;0.0728;3830 ;0.0027;1299520 ;0.9073;3741 ;0.0026;4399 ;0.0031;5394 ;0.0038;2465 ;0.0017
The Republic of Ingushetia;219305 ;544 ;177335 ;1862 ;2406 ;177335 ;710 ;179031 ;1580 ;0.0088;10187 ;0.0567;6570 ;0.0366;149488 ;0.8317;2974 ;0.0165;677 ;0.0038;3304 ;0.0184;4251 ;0.0237
Kabardino-Balkaria;528431 ;0 ;467655 ;17453 ;17453 ;467107 ;628 ;483932 ;1222 ;0.0025;20133 ;0.0415;5006 ;0.0103;452480 ;0.9338;1121 ;0.0023;1141 ;0.0024;1658 ;0.0034;1171 ;0.0024
Republic of Kalmykia;201912 ;0 ;132523 ;8099 ;8099 ;132520 ;1790 ;138829 ;502 ;0.0036;16399 ;0.1166;2734 ;0.0194;114833 ;0.8166;2117 ;0.0151;675 ;0.0048;632 ;0.0045;937 ;0.0067
Karachay-Cherkess Republic;292031 ;0 ;241477 ;13774 ;13771 ;241300 ;1101 ;253970 ;676 ;0.0027;17819 ;0.0699;7075 ;0.0277;223534 ;0.8764;1132 ;0.0044;2533 ;0.0099;454 ;0.0018;747 ;0.0029
Republic of Karelia;519667 ;257 ;282899 ;14071 ;14327 ;282638 ;3656 ;293309 ;2343 ;0.0079;33693 ;0.1135;23254 ;0.0783;216899 ;0.7304;6777 ;0.0228;1927 ;0.0065;3201 ;0.0108;5215 ;0.0176
Komi Republic;674071 ;6602 ;384002 ;16512 ;23110 ;383805 ;5908 ;401007 ;3234 ;0.0079;46094 ;0.1133;41680 ;0.1024;290716 ;0.7144;8179 ;0.0201;3215 ;0.0079;3809 ;0.0094;4080 ;0.01
Republic of Crimea;1506789 ;0 ;1022913 ;54991 ;54989 ;1022679 ;11369 ;1066299 ;2095 ;0.0019;23746 ;0.022;19494 ;0.0181;993074 ;0.9215;17720 ;0.0164;2265 ;0.0021;2783 ;0.0026;5122 ;0.0048
Mari El Republic;536655 ;0 ;325463 ;31048 ;31045 ;325349 ;3146 ;353248 ;2013 ;0.0056;51873 ;0.1455;24516 ;0.0688;263725 ;0.7399;4821 ;0.0135;2028 ;0.0057;2128 ;0.006;2144 ;0.006
The Republic of Mordovia;611857 ;0 ;439990 ;36384 ;36384 ;439864 ;3549 ;472699 ;1863 ;0.0039;33894 ;0.0712;20758 ;0.0436;406480 ;0.8535;3561 ;0.0075;2781 ;0.0058;1636 ;0.0034;1726 ;0.0036
The Republic of Sakha (Yakutia);643786 ;17281 ;418588 ;21196 ;38474 ;418450 ;4636 ;452288 ;1696 ;0.0037;124518 ;0.2725;18089 ;0.0396;294166 ;0.6438;7494 ;0.0164;1711 ;0.0037;2010 ;0.0044;2604 ;0.0057
