Codice comune;Comune;Maschi;Femmine;Totale;Cittadinanza;Zona geografica;Continente
58001;Affile;8;13;21;Romania;Unione Europea;Europa
58001;Affile;5;3;8;Perù;America Centro-Meridionale;America
58001;Affile;0;5;5;Dominicana, Repubblica;America Centro-Meridionale;America
58001;Affile;1;3;4;Albania;Europa Centro-Orientale;Europa
58001;Affile;2;1;3;Nigeria;Africa Occidentale;Africa
58001;Affile;0;1;1;Spagna;Unione Europea;Europa
58002;Agosta;34;46;80;Romania;Unione Europea;Europa
58002;Agosta;2;5;7;Congo, Repubblica democratica del (ex Zaire);Africa Centro-Meridionale;Africa
58002;Agosta;3;3;6;Albania;Europa Centro-Orientale;Europa
58002;Agosta;0;6;6;Moldova;Europa Centro-Orientale;Europa
58002;Agosta;3;3;6;Polonia;Unione Europea;Europa
58002;Agosta;3;1;4;Georgia;Asia Occidentale;Asia
58002;Agosta;1;2;3;Congo (Repubblica del);Africa Centro-Meridionale;Africa
58002;Agosta;1;1;2;Croazia;Unione Europea;Europa
58002;Agosta;1;1;2;Kenya;Africa Orientale;Africa
58002;Agosta;2;0;2;Marocco;Africa Settentrionale;Africa
58002;Agosta;1;1;2;Nigeria;Africa Occidentale;Africa
58002;Agosta;1;0;1;Camerun;Africa Centro-Meridionale;Africa
58002;Agosta;1;0;1;Centrafricana, Repubblica;Africa Centro-Meridionale;Africa
58002;Agosta;0;1;1;Egitto;Africa Settentrionale;Africa
58002;Agosta;0;1;1;Francia;Unione Europea;Europa
58002;Agosta;0;1;1;Ucraina;Europa Centro-Orientale;Europa
58003;Albano Laziale;897;899;1796;Romania;Unione Europea;Europa
58003;Albano Laziale;97;105;202;Albania;Europa Centro-Orientale;Europa
58003;Albano Laziale;83;59;142;Egitto;Africa Settentrionale;Africa
58003;Albano Laziale;101;31;132;Bangladesh;Asia Centro-Meridionale;Asia
58003;Albano Laziale;71;60;131;India;Asia Centro-Meridionale;Asia
58003;Albano Laziale;23;106;129;Ucraina;Europa Centro-Orientale;Europa
58003;Albano Laziale;45;46;91;Cinese, Repubblica Popolare;Asia Orientale;Asia
58003;Albano Laziale;23;62;85;Polonia;Unione Europea;Europa
58003;Albano Laziale;27;50;77;Moldova;Europa Centro-Orientale;Europa
58003;Albano Laziale;40;21;61;Pakistan;Asia Centro-Meridionale;Asia
58003;Albano Laziale;37;24;61;Tunisia;Africa Settentrionale;Africa
58003;Albano Laziale;14;31;45;Spagna;Unione Europea;Europa
58003;Albano Laziale;18;15;33;Turchia;Europa Centro-Orientale;Europa
58003;Albano Laziale;19;11;30;Marocco;Africa Settentrionale;Africa
58003;Albano Laziale;12;14;26;Perù;America Centro-Meridionale;America
58003;Albano Laziale;10;15;25;Francia;Unione Europea;Europa
58003;Albano Laziale;10;12;22;Ecuador;America Centro-Meridionale;America
58003;Albano Laziale;5;16;21;Georgia;Asia Occidentale;Asia
58003;Albano Laziale;10;9;19;Bulgaria;Unione Europea;Europa
58003;Albano Laziale;3;15;18;Brasile;America Centro-Meridionale;America
58003;Albano Laziale;5;11;16;Filippine;Asia Orientale;Asia
58003;Albano Laziale;5;10;15;Germania;Unione Europea;Europa
58003;Albano Laziale;2;12;14;Cuba;America Centro-Meridionale;America
58003;Albano Laziale;3;10;13;Russa, Federazione;Europa Centro-Orientale;Europa
58003;Albano Laziale;11;2;13;Sri Lanka (ex Ceylon);Asia Centro-Meridionale;Asia
58003;Albano Laziale;7;5;12;Dominicana, Repubblica;America Centro-Meridionale;America
58003;Albano Laziale;4;8;12;Regno Unito;Altri paesi europei;Europa
58003;Albano Laziale;3;8;11;Iran, Repubblica Islamica del;Asia Occidentale;Asia
58003;Albano Laziale;2;8;10;Nigeria;Africa Occidentale;Africa
58003;Albano Laziale;6;4;10;Senegal;Africa Occidentale;Africa
58003;Albano Laziale;3;7;10;Stati Uniti d'America;America Settentrionale;America
58003;Albano Laziale;4;4;8;Argentina;America Centro-Meridionale;America
58003;Albano Laziale;6;1;7;Algeria;Africa Settentrionale;Africa
58003;Albano Laziale;4;3;7;Colombia;America Centro-Meridionale;America
58003;Albano Laziale;1;6;7;El Salvador;America Centro-Meridionale;America
58003;Albano Laziale;2;5;7;Paesi Bassi;Unione Europea;Europa
58003;Albano Laziale;4;2;6;Afghanistan;Asia Centro-Meridionale;Asia
58003;Albano Laziale;3;3;6;Camerun;Africa Centro-Meridionale;Africa
58003;Albano Laziale;1;5;6;Capo Verde;Africa Occidentale;Africa
58003;Albano Laziale;3;3;6;Montenegro;Europa Centro-Orientale;Europa
58003;Albano Laziale;3;3;6;Portogallo;Unione Europea;Europa
58003;Albano Laziale;1;4;5;Belgio;Unione Europea;Europa
58003;Albano Laziale;0;5;5;Honduras;America Centro-Meridionale;America
58003;Albano Laziale;2;3;5;Messico;America Centro-Meridionale;America
58003;Albano Laziale;0;5;5;Svezia;Unione Europea;Europa
58003;Albano Laziale;2;2;4;Benin (ex Dahomey);Africa Occidentale;Africa
58003;Albano Laziale;3;1;4;Macedonia del Nord;Europa Centro-Orientale;Europa
58003;Albano Laziale;1;2;3;Giappone;Asia Orientale;Asia
58003;Albano Laziale;2;1;3;Kosovo;Europa Centro-Orientale;Europa
58003;Albano Laziale;2;1;3;Madagascar;Africa Orientale;Africa
58003;Albano Laziale;1;2;3;Mauritius;Africa Orientale;Africa
58003;Albano Laziale;0;2;2;Bielorussia;Europa Centro-Orientale;Europa
58003;Albano Laziale;1;1;2;Ceca, Repubblica;Unione Europea;Europa
58003;Albano Laziale;1;1;2;Costa d'Avorio;Africa Occidentale;Africa
58003;Albano Laziale;0;2;2;Eritrea;Africa Orientale;Africa
58003;Albano Laziale;1;1;2;Ghana;Africa Occidentale;Africa
58003;Albano Laziale;0;2;2;Kazakhstan;Asia Centro-Meridionale;Asia
58003;Albano Laziale;0;2;2;Lituania;Unione Europea;Europa
58003;Albano Laziale;0;2;2;Panama;America Centro-Meridionale;America
58003;Albano Laziale;0;2;2;Serbia, Repubblica di;Europa Centro-Orientale;Europa
58003;Albano Laziale;0;2;2;Siria;Asia Occidentale;Asia
58003;Albano Laziale;0;2;2;Thailandia;Asia Orientale;Asia
58003;Albano Laziale;2;0;2;Togo;Africa Occidentale;Africa
58003;Albano Laziale;0;2;2;Ungheria;Unione Europea;Europa
58003;Albano Laziale;0;2;2;Venezuela;America Centro-Meridionale;America
58003;Albano Laziale;1;0;1;Angola;Africa Centro-Meridionale;Africa
58003;Albano Laziale;0;1;1;Austria;Unione Europea;Europa
58003;Albano Laziale;0;1;1;Bosnia-Erzegovina;Europa Centro-Orientale;Europa
58003;Albano Laziale;1;0;1;Burkina Faso (ex Alto Volta);Africa Occidentale;Africa
58003;Albano Laziale;1;0;1;Burundi;Africa Orientale;Africa
58003;Albano Laziale;0;1;1;Canada;America Settentrionale;America
58003;Albano Laziale;0;1;1;Cile;America Centro-Meridionale;America
58003;Albano Laziale;0;1;1;Congo (Repubblica del);Africa Centro-Meridionale;Africa
58003;Albano Laziale;0;1;1;Corea, Repubblica (Corea del Sud);Asia Orientale;Asia
58003;Albano Laziale;1;0;1;Costa Rica;America Centro-Meridionale;America
58003;Albano Laziale;0;1;1;Croazia;Unione Europea;Europa
58003;Albano Laziale;1;0;1;Danimarca;Unione Europea;Europa
58003;Albano Laziale;1;0;1;Etiopia;Africa Orientale;Africa
58003;Albano Laziale;1;0;1;Gambia;Africa Occidentale;Africa
58003;Albano Laziale;1;0;1;Grecia;Unione Europea;Europa
58003;Albano Laziale;1;0;1;Guatemala;America Centro-Meridionale;America
58003;Albano Laziale;1;0;1;Guinea;Africa Occidentale;Africa
58003;Albano Laziale;1;0;1;Iraq;Asia Occidentale;Asia
58003;Albano Laziale;0;1;1;Kirghizistan;Asia Centro-Meridionale;Asia
58003;Albano Laziale;0;1;1;Lettonia;Unione Europea;Europa
58003;Albano Laziale;0;1;1;Malta;Unione Europea;Europa
58003;Albano Laziale;0;1;1;Mongolia;Asia Orientale;Asia
58003;Albano Laziale;1;0;1;Mozambico;Africa Orientale;Africa
58003;Albano Laziale;0;1;1;Norvegia;Altri paesi europei;Europa
58003;Albano Laziale;0;1;1;Paraguay;America Centro-Meridionale;America
58003;Albano Laziale;1;0;1;Sierra Leone;Africa Occidentale;Africa
58003;Albano Laziale;0;1;1;Slovacchia;Unione Europea;Europa
58003;Albano Laziale;1;0;1;Sud Africa;Africa Centro-Meridionale;Africa
58004;Allumiere;69;71;140;Romania;Unione Europea;Europa
58004;Allumiere;5;6;11;Albania;Europa Centro-Orientale;Europa
58004;Allumiere;1;4;5;Polonia;Unione Europea;Europa
58004;Allumiere;2;2;4;Nigeria;Africa Occidentale;Africa
58004;Allumiere;2;1;3;Cinese, Repubblica Popolare;Asia Orientale;Asia
58004;Allumiere;3;0;3;Iraq;Asia Occidentale;Asia
58004;Allumiere;1;1;2;Brasile;America Centro-Meridionale;America
58004;Allumiere;0;2;2;Cuba;America Centro-Meridionale;America
58004;Allumiere;1;1;2;Lituania;Unione Europea;Europa
58004;Allumiere;1;1;2;Sri Lanka (ex Ceylon);Asia Centro-Meridionale;Asia
58004;Allumiere;0;2;2;Ucraina;Europa Centro-Orientale;Europa
58004;Allumiere;0;1;1;Algeria;Africa Settentrionale;Africa
58004;Allumiere;1;0;1;Bangladesh;Asia Centro-Meridionale;Asia
58004;Allumiere;0;1;1;Francia;Unione Europea;Europa
58004;Allumiere;0;1;1;Giamaica;America Centro-Meridionale;America
58004;Allumiere;0;1;1;Haiti;America Centro-Meridionale;America
58004;Allumiere;0;1;1;Marocco;Africa Settentrionale;Africa
58004;Allumiere;0;1;1;Paesi Bassi;Unione Europea;Europa
58004;Allumiere;0;1;1;Perù;America Centro-Meridionale;America
58004;Allumiere;0;1;1;Regno Unito;Altri paesi europei;Europa
58004;Allumiere;1;0;1;Russa, Federazione;Europa Centro-Orientale;Europa
58004;Allumiere;1;0;1;Tunisia;Africa Settentrionale;Africa
58005;Anguillara Sabazia;378;445;823;Romania;Unione Europea;Europa
58005;Anguillara Sabazia;50;71;121;Polonia;Unione Europea;Europa
58005;Anguillara Sabazia;50;40;90;Albania;Europa Centro-Orientale;Europa
58005;Anguillara Sabazia;27;62;89;Ucraina;Europa Centro-Orientale;Europa
58005;Anguillara Sabazia;22;38;60;Perù;America Centro-Meridionale;America
58005;Anguillara Sabazia;21;20;41;Macedonia del Nord;Europa Centro-Orientale;Europa
58005;Anguillara Sabazia;20;20;40;India;Asia Centro-Meridionale;Asia
58005;Anguillara Sabazia;33;6;39;Egitto;Africa Settentrionale;Africa
58005;Anguillara Sabazia;11;18;29;Regno Unito;Altri paesi europei;Europa
