"","clmt_binary","age","gndr","lr_scale","Age"
"1",1,"25-35","Male",0,35
"2",1,"50-65","Male",0,58
"3",1,"50-65","Female",0,58
"4",1,"50-65","Female",0,52
"5",1,"> 65","Female",NA,75
"6",1,"50-65","Female",0,51
"7",0,"36-50","Female",NA,47
"8",1,"25-35","Male",0,25
"9",1,"25-35","Male",-3,27
"10",1,"> 65","Male",0,89
"11",1,"18-24","Female",0,19
"12",1,"36-50","Female",NA,49
"13",0,"18-24","Male",3,20
"14",1,"25-35","Male",NA,29
"15",1,"25-35","Female",-2,25
"16",1,"50-65","Male",NA,58
"17",1,"25-35","Female",NA,27
"18",1,"25-35","Female",0,35
"19",1,"36-50","Female",0,38
"20",1,"50-65","Female",0,64
"21",1,"> 65","Male",0,66
"22",1,"36-50","Male",NA,45
"23",1,"36-50","Male",1,49
"24",0,"36-50","Male",-5,45
"25",1,"50-65","Male",NA,57
"26",1,"> 65","Female",NA,73
"27",1,"25-35","Female",NA,25
"28",1,"25-35","Female",1,26
"29",1,"36-50","Female",0,36
"30",1,"25-35","Male",-1,29
"31",1,"50-65","Female",0,65
"32",1,"25-35","Female",0,26
"33",1,"25-35","Female",NA,34
"34",1,"18-24","Male",-2,20
"35",1,"18-24","Female",0,19
"36",1,"50-65","Female",NA,52
"37",1,"18-24","Male",0,20
"38",1,"25-35","Male",1,25
"39",1,"18-24","Female",0,18
"40",1,"25-35","Female",0,28
"41",1,"36-50","Female",0,42
"42",0,"50-65","Male",NA,60
"43",1,"50-65","Female",0,57
"44",1,"36-50","Female",NA,47
"45",1,"50-65","Male",0,53
"46",1,"> 65","Female",NA,70
"47",1,"> 65","Female",NA,68
"48",1,"50-65","Male",0,57
"49",1,"36-50","Female",NA,50
"50",1,"50-65","Female",NA,62
"51",1,"36-50","Female",NA,37
"52",1,"> 65","Female",0,76
"53",1,"25-35","Male",0,27
"54",1,"50-65","Female",0,64
"55",1,"18-24","Male",0,23
"56",1,"> 65","Male",0,67
"57",1,"50-65","Female",-2,55
"58",1,"> 65","Male",0,73
"59",0,"36-50","Male",0,36
"60",1,"18-24","Male",0,18
"61",1,"50-65","Male",2,61
"62",0,"36-50","Male",2,36
"63",1,"18-24","Female",0,19
"64",1,"50-65","Female",0,55
"65",1,"25-35","Male",NA,31
"66",1,"50-65","Female",-2,58
"67",1,"36-50","Male",0,40
"68",0,"18-24","Male",0,18
"69",1,"25-35","Female",-1,25
"70",0,"18-24","Female",0,18
"71",1,"> 65","Female",0,69
"72",0,"50-65","Male",0,65
"73",1,"50-65","Female",-1,58
"74",1,"> 65","Male",0,66
"75",0,"36-50","Male",3,45
"76",1,"> 65","Female",NA,72
"77",1,"36-50","Female",2,44
"78",1,"18-24","Male",NA,21
"79",1,"36-50","Male",0,36
"80",1,"18-24","Female",3,24
"81",0,"25-35","Male",2,35
"82",1,"> 65","Female",-1,70
"83",1,"25-35","Male",-1,25
"84",1,"25-35","Male",-1,29
"85",1,"18-24","Male",3,15
"86",1,"25-35","Male",NA,35
"87",1,"36-50","Male",NA,45
"88",1,"36-50","Female",NA,36
"89",1,"25-35","Male",0,35
"90",1,"18-24","Female",NA,15
"91",1,"25-35","Male",3,27
"92",0,"25-35","Male",-5,31
"93",1,"25-35","Female",NA,25
"94",1,"> 65","Male",1,76
"95",1,"> 65","Female",NA,73
"96",1,"50-65","Male",0,51
"97",0,"36-50","Male",0,50
"98",1,"25-35","Male",-3,31
"99",1,"18-24","Female",0,18
"100",1,"50-65","Female",0,51
"101",1,"50-65","Female",0,65
"102",1,"18-24","Female",0,18
"103",1,"50-65","Male",1,52
"104",0,"> 65","Female",NA,72
"105",1,"36-50","Female",NA,44
"106",1,"36-50","Male",NA,45
"107",1,"18-24","Female",NA,18
"108",1,"> 65","Male",0,76
"109",1,"36-50","Female",0,45
"110",1,"50-65","Female",0,55
"111",1,"36-50","Male",0,49
"112",1,"25-35","Female",0,35
"113",1,"18-24","Male",-2,21
