N_reg;Region;urbanpopulation;internet;transfers;democracy_index;reg_disttomoscow;reg_tempjan;reg_ur2011;reg_kdshare;reg_mincome;reg_levelofunempl;reg_heductoempd;reg_pop1jan;reg_alcvodka;reg_alcbeer;reg_mobile;reg_grp;ethnic;turnout_2011;turnout_2016;protest_events;reg_ur2016;media2017
1;Adygeya;47;52;7950,4;25;1669;0;61;18,23;17071;8,1;33,2;442451;6,9;35,8;471,8;65235,8;1;65,9;53,9;4;0,5945;0
2;Bashkortostan;61,1;58;26125,7;24;1519;-13,8;70,5;15,65;21267;6,1;24,7;4064245;11;63,9;6034;1154056,1;1;79,3;69,8;43;0,5637;2
3;Buryatia;59;38,9;23463,1;31;5532;-24,9;49,02;24,34;17688;7,9;27,4;971391;13,9;37,9;1305,2;167038,1;1;56,9;40,5;15;0,4334;0
4;Altai krai ;28,9;47;9999;31;3641;-21,3;53,33;21,55;14283;11,6;29,9;208425;9,8;62;254,3;29615,9;1;63,6;45,1;1;0,4881;1
5;Dagestan;45,1;34,4;57765,2;26;2166;-2,9;91,44;7,93;20730;11,7;30,9;2930449;7,9;2,7;3149;377974,6;1;91,1;88,1;45;0,889;1
6;Ingushetia;39,9;8,4;17790,1;18;1942;-4,2;90,96;2,94;12322;47,7;30,8;430495;0,05;0,05;518,5;36888,1;1;86,4;81,4;15;0,7241;0
7;Kabardino-Balkaria ;54,1;35,8;13661,3;18;1873;-4,1;81,91;17,63;13717;8,9;28,6;859063;3,1;25,3;1030,2;105992,4;1;98,4;90,1;8;0,7771;0
8;Kalmykia;44,7;49,1;5591,7;22;1836;-5,7;66,1;18,37;10190;13,1;33;286689;2,8;17,9;453,9;34016,5;1;63,2;57,5;6;0,7061;0
9;Karachay-Cherkessia ;42,9;32,9;15215,1;25;1674;-4,5;89,84;8,82;13388;8,9;33,3;474675;2,1;29,5;637,6;59512,8;1;93,2;93,3;5;0,8167;0
10;Karelia;78,8;72,4;9174,7;39;925;-9,5;32,26;19,26;20058;7;25,2;639681;18,9;58;1117,6;162002,8;1;50,3;39,6;21;0,373;2
11;Komi ;77,3;66,6;9996,2;34;1515;-13,8;58,81;13,46;27040;6,4;23,8;889837;16,7;94,7;1612,1;480763,7;1;72,6;40,8;11;0,3785;2
12;Mari El ;64,3;42,8;9445,5;25;862;-11;52,24;20,73;12532;6,5;25,4;692435;12,4;32,8;1023;117598,1;1;71,3;53,4;6;0,467;1
13;Mordovia;61,3;49,8;22701,1;19;642;-9,7;91,62;4,54;13081;4,9;27,9;825454;10,7;56,9;1218,5;132474;1;94,2;83;49;0,8436;1
14;Sakha (Yakutia);64,9;43,1;58952,3;27;8468;-33,2;49,16;16,39;28701;8;27,5;955859;12;55;1267,5;540411,7;1;60,1;48,1;11;0,4642;2
15;North Ossetia-Alania;63,9;57,7;13392;21;1923;-3,3;67,9;21,72;16165;7,9;37,9;709032;3,3;17,7;836,3;99715;1;85,8;85,6;32;0,6709;1
16;Tatarstan;75,9;51,7;48003,1;27;797;-11,2;77,83;10,59;24004;4,1;30,8;3803189;13,2;83,8;5973,8;1436932,6;1;79,5;78,8;43;0,8527;3
17;Tuva;53,9;25,6;16850,1;22;4668;-28,2;85,29;3,93;12014;18,4;35,7;309347;15,8;81,2;379,3;37653;1;86,1;90,1;1;0,8261;0
18;Udmurtiya;65;72,8;13981,1;31;1129;-12,8;45,09;19,55;16694;6;25,4;1518091;13,4;87,3;2383,4;371498;1;56,6;44,5;64;0,5052;2
