city_name_eng;repression;regional_capital;population;protest_frequency;salary;city_grp;opposition_deputies;opposition_share
Maykop;5;1;154740;24;25850.1;23773202.5;9;30
Neftekamsk;4;0;119515;1;28923.9;48324272.4;NA;NA
Ufa;26;1;1030812;96;39011.6;1070862046;15;41.67
Ishimbai;1;0;90840;1;25973.3;15801169.3;NA;NA
Belebey;0;0;100848;0;24133.1;21584833.8;NA;NA
Oktyabrskiy;0;0;109722;0;30853.6;33923776.7;NA;NA
Sterlitamak;0;0;271540;5;28712.3;112200631.4;NA;NA
Salavat;2;0;155596;7;35848.6;229277568.3;NA;NA
Ulan-Ude;2;1;377116;61;26435.06;80180171.3;10;33.33
Gorno-Altaisk;0;1;59720;11;NA;NA;8;38.1
Makhachkala;7;1;468679;82;28618.9;43001073.5;12;26.67
Nalchik;0;1;269029;12;55255;23515234.5;11;33.33
Petrozavodsk;23;1;270601;56;41294.6;NA;12;42.86
Pechora;1;0;47669;1;54140.7;60777108.1;NA;NA
Ukhta;2;0;103675;6;58575.7;305596123.9;NA;NA
Vorkuta;0;0;90856;4;62214.2;42308964.1;NA;NA
Syktyvkar;5;1;235845;38;44181.4;123025441.3;7;23.33
Yoshkar-Ola;5;1;248742;26;NA;NA;3;8.57
Saransk;15;1;296363;4;28248.3;119498981;6;21.43
Yakutsk;13;1;267983;33;64411.2;128785625.7;14;46.67
Bugulma;0;0;93305;0;33537.1;32060437.7;NA;NA
Naberezhnye Chelny;10;0;510301;32;33837.8;318257860.9;NA;NA
Kazan;75;1;1136566;120;41123.5;580305187.1;7;14
Almetyevsk;9;0;142143;2;42851.7;672700120;NA;NA
Kyzyl;0;1;109986;3;41383;26002121.5;1;3.85
Izhevsk;20;1;610633;59;35041.5;241685922.6;30;85.71
Sarapul;1;0;100589;2;31335.2;27810300.7;NA;NA
Votkinsk;0;0;98628;0;38223.5;18516832.9;NA;NA
Glazov;1;0;95553;2;29483;31357078.2;NA;NA
Abakan;2;1;163617;21;41203.1;36974949.8;3;10.34
Cheboksary;41;1;447929;40;20562.4;122854770.3;13;30.23
Barnaul;13;1;597828;93;31136.9;146986915.6;12;30
Rubtsovsk;0;0;155087;14;23703.7;20940556.5;NA;NA
Biysk;4;0;211260;12;24592.3;45271158.2;NA;NA
Eysk;7;0;87553;1;25542.6;12417438;NA;NA
Anapa;0;0;59154;7;29598.9;16746496;NA;NA
Gelendzhik;0;0;55110;1;31603.6;12843069.1;NA;NA
Armavir;9;0;187845;4;26416.6;33225645.3;NA;NA
Krasnodar;42;1;713426;73;42128;518268245.5;9;17.31
Sochi;37;0;341902;40;39073.5;107279583.4;NA;NA
Achinsk;0;0;110114;4;34678.7;40339306;NA;NA
Norilsk;2;0;201982;0;88319.5;555920858.9;NA;NA
Krasnoyarsk;18;1;962466;97;44384.3;544146886.9;22;61.11
Vladivostok;47;1;578213;102;51892;243157150;29;53.7
Ussuriisk;0;0;152931;7;38160.7;27379796.3;NA;NA
Stavropol;18;1;369099;37;33290.1;114737670.2;5;16.67
Mineralnye Vody;0;0;83010;5;30038.2;20441154.7;NA;NA
Essentuki;0;0;101441;3;28597.3;11049073.5;NA;NA
Khabarovsk;32;1;580665;73;52985.7;239133709.5;1;2.86
Komsomolsk-on-Amur;16;0;269827;10;45024.4;169172908.7;NA;NA
Blagoveshchensk;9;1;206468;47;41708.7;71685386.3;8;26.67
Arkhangelsk;13;1;348399;24;45097.7;89931787.3;10;33.33
Velsk;1;0;29738;3;35706.9;6635245.7;NA;NA
Kotlas;1;0;73353;4;37958.6;6650031.8;NA;NA
Koryazhma;0;0;39584;0;39968.6;51926914.4;NA;NA
Severodvinsk;3;0;187485;8;54679.6;180793537.5;NA;NA
Astrakhan;26;1;506110;47;124269;310630715.9;14;38.89
Stary Oskol;1;0;221589;2;33827.7;222304188.9;NA;NA
Belgorod;4;1;362832;48;33597;142861840.6;17;43.59
Bryansk;14;1;409217;35;28651;167054790.9;8;25
Vladimir;23;1;337670;31;33297.1;140257526.4;13;52
Kovrov;1;0;148355;2;34675.9;69992588.5;NA;NA
Volzhskiy;1;0;304748;7;31408.9;162574426.4;NA;NA
Volgograd;34;1;979617;205;33758.5;661237760.2;22;45.83
Cherepovets;8;0;310169;6;45724.6;494837158.8;NA;NA
Vologda;14;1;285983;31;36072.3;98026929.8;3;10
Voronezh;11;1;847620;113;35205.3;297097364.6;8;22.22
Ivanovo;1;1;403054;47;29496.4;74526142.3;5;16.67
Irkutsk;31;1;580708;128;47201.2;316397411.8;7;20
Bratsk;3;0;249657;7;44257.5;215002968.1;NA;NA
Kaliningrad;46;1;419150;77;38685.9;319309068.2;8;28.57
Kaluga;11;1;327650;33;39707.5;432763549.4;8;22.86
Obninsk;0;0;105595;4;46088.9;58888417.4;NA;NA
Petropavlovsk-Kamchatskii;1;1;194431;26;76524.7;79371544.3;9;28.13
Novokuznetsk;8;0;563507;26;36935;449123208.8;NA;NA
Kemerovo;32;1;521175;15;39371.4;197365441.4;3;8.33
Belovo;0;0;130581;1;36058.7;75465142.4;NA;NA
Kirov;21;1;463852;90;32765.6;154160158.6;23;63.89
Vyatskie Polyany;0;0;34505;0;23797.6;3844824.2;NA;NA
Kostroma;15;1;269711;21;30365.5;64317837.6;13;39.39
Galich;1;0;16825;0;23053.9;4547901.2;NA;NA
Soligalich;1;0;6144;0;22992.8;764326.9;NA;NA
Kurgan;12;1;322383;44;31389.9;103876788.6;4;15.38
Yurgamysh;0;0;7610;0;31555.4;2008472.7;NA;NA
Kursk;2;1;413528;25;29754;138205976.3;18;52.94
Sosnovyi Bor;0;0;67079;1;62320.2;64924170;NA;NA
Tosno;1;0;92219;1;39959.9;40070821.2;NA;NA
Gatchina;15;0;148880;4;41257.1;63523131.2;NA;NA
Lipetsk;14;1;502015;58;36213.8;554051307;11;30.56
Magadan;1;1;102124;10;79539.5;33589073.5;7;25
Ramenskoe;2;0;292649;1;50594.1;111425631.9;NA;NA
Chernogolovka;2;0;21424;2;54721;6008291.9;NA;NA
Podolsk;0;0;183095;3;53353.4;149021971.3;NA;NA
Dubna;0;0;72357;2;50705.8;38693668.6;NA;NA
Orekhovo-Zuyevo;0;0;121114;0;42033.8;22374279.1;NA;NA
Stupino;0;0;84723;0;51496.7;156759009.4;NA;NA
Krasnoarmeysk;0;0;26590;0;41356.5;5820417.2;NA;NA
Mytishchi;1;0;164638;4;51229.8;170311295.8;NA;NA
Sergiyev Posad;0;0;105835;5;42726.1;73519391.7;NA;NA
Balashikha;0;0;197650;3;50426.2;82942612.9;NA;NA
Apatity;0;0;59237;3;13845;11038378.2;NA;NA
Olenegorsk;1;0;22405;0;8085;15949335.6;NA;NA
Polyarnye zori;0;0;14982;0;6673;16578033.2;NA;NA
Murmansk;35;1;309362;34;90037;161674905.9;9;30
Nizhny Novgorod;0;1;1271045;85;42469.5;720747583.8;22;62.86
Sarov;0;0;95469;1;32115.8;NA;NA;NA
Veliky Novgorod;0;1;214777;25;36640.5;159176158.1;18;60
Valday;0;0;14119;0;27060.5;2101291.7;NA;NA
Novosibirsk;25;1;1409137;237;42084.36;469693733.9;18;36
Ob;0;0;26137;1;50065.16;30566659;NA;NA
Iskitim;1;0;59058;1;28304.71;14555342.1;NA;NA
Berdsk;0;0;98809;30;31511.13;15153033.2;NA;NA
Omsk;8;1;1127675;149;35454.1;886727904.2;18;45
Orsk;3;0;245055;26;26888.4;45691710.5;NA;NA
Orenburg;9;1;525637;52;36523.7;235460532.3;11;27.5
Kuvandyk;0;0;25607;0;23990.6;1198931.8;NA;NA
Oryol;0;1;316838;28;29569.7;NA;10;26.32
Penza;8;1;506297;90;31138.7;148388814.2;3;12
Lysva;0;0;65069;0;27187.9;15379803.2;NA;NA
Chusovoy;0;0;54886;1;27546.6;8977429.4;NA;NA
Kungur;0;0;66316;6;30117.6;17930947.2;NA;NA
Chernushka;0;0;33169;1;32239.6;32942233.5;NA;NA
Chaikovskii;0;0;82866;0;34863.4;95465771.4;NA;NA
Solikamsk;0;0;96759;1;35561.4;30601968.5;NA;NA
Berezniki;5;0;164098;7;40351;196684685.8;NA;NA
Perm;40;1;986497;141;41325.9;769359844.7;9;25
Pskov;13;1;191760;29;30539.1;42889423.2;7;28
Volgodonsk;0;0;169085;2;35242.6;83652864;NA;NA
Taganrog;0;0;255095;10;30784.5;89594172;NA;NA
Rostov-on-Don;37;1;1048124;95;40607.3;449766953.5;8;20
Ryazan;3;1;509392;40;36051.4;271808234.9;8;20
Tolyatti;13;0;721752;48;33455.9;490997145.1;NA;NA
Samara;36;1;1133754;77;39394.5;504565563.4;6;18.18
Saratov;50;1;827193;229;32713.3;286310451.7;9;21.95
Balakovo;1;0;197338;27;31190.5;140666432.9;NA;NA
Yuzhno-Sakhalinsk;7;1;174784;26;88147.7;199119059.9;5;20
Nizhny Tagil;15;0;372780;8;34823.5;279157712.7;NA;NA
Kamensk-Uralskiy;0;0;179061;8;34733.1;125029656.5;NA;NA
Alapaevsk;0;0;38065;0;27569.7;4676716.4;NA;NA
Krasnoturinsk;0;0;59340;14;35085.3;28919238.6;NA;NA
Kachkanar;0;0;40998;2;39939.2;40099475;NA;NA
Yekaterinburg;24;1;1343839;239;47346;839734217.8;24;66.67
Smolensk;14;1;314469;25;31467;85499063.3;6;20
Tambov;33;1;277503;32;28939.3;111969976.5;6;16.67
Tver;9;1;410410;34;36093;131482577.2;14;42.42
Konakovo;2;0;67437;1;32762.5;44252866.8;NA;NA
Tomsk;26;1;508604;76;43409;256741420.8;9;24.32
Tula;32;1;491999;21;39193.5;364481719;9;25.71
Tyumen;45;1;580223;55;54116.8;613785812.2;10;27.78
Ulyanovsk;6;0;602789;87;32595.9;245810614.8;4;10
Magnitogorsk;8;0;409961;35;40914.6;521529247.6;NA;NA
Chelyabinsk;29;1;1095909;144;38266;670830516;NA;NA
Miass;0;0;152055;18;32406.5;64502873.4;NA;NA
Chita;11;1;308820;33;42204.2;57365127.3;7;23.33
Yaroslavl;23;1;606888;60;37548.2;280984340.5;15;39.47
Rybinsk;0;0;206746;5;31248.8;89544622.3;NA;NA
Moscow;341;1;10563038;876;106292.7;15149326670;17;37.78
Saint Petersburg;173;1;4600276;702;63102.7;4354810945;15;30
Nizhnevartovsk;2;0;248378;18;63804;197611475.8;NA;NA
Khanty-Mansiisk;2;1;85029;2;72067.5;78810607;11;44
Surgut;0;0;302182;28;82601.3;667396679.4;NA;NA
