"","country","GDP.ppp.pc.us","Int.users.per.100","Status","democracy","P4","demP4","autP4"
"1","Algeria",13715.33174,16.5,"Unfree","No",2,"3","1"
"2","Argentina",20161.49683,59.9,"Free","Yes",9,"9","0"
"3","Armenia",7022.103943,32,"Partly free","Yes",5,"5","0"
"4","Australia",42616.14892,79,"Free","Yes",10,"10","0"
"5","Azerbaijan",15754.15236,50,"Unfree","No",-7,"0","7"
"6","Bahrain",46734.52415,90.99998,"Unfree","No",-10,"0","10"
"7","Belarus",17166.69564,39.6,"Unfree","No",-7,"0","7"
"8","Brazil",14973.09847,57.6,"Free","Yes",8,"8","0"
"9","Chile",20437.70453,52.24960729,"Free","Yes",10,"10","0"
"10","China",11351.06284,42.30011749,"Free","No",-7,"0","7"
"11","Colombia",12058.34376,48.98,"Partly free","Yes",7,"7","0"
"12","Cyprus",33192.37985,57.78997899,"Free","Yes",10,"10","0"
"13","Ecuador",11037.34677,40.35368423,"Partly free","Yes",5,"6","1"
"14","Egypt",10156.41485,29.4,"Unfree","No",-4,"0","4"
"15","Estonia",24543.06747,76.5,"Free","Yes",9,"0","0"
"16","Georgia",9216.324876,48.9,"Partly free","Yes",7,"8","1"
"17","Germany",45232.19785,84.17,"Free","Yes",10,"10","0"
"18","Ghana",3699.347805,10.6,"Free","Yes",8,"8","0"
"19","Hong Kong",53472.23072,74.2,"Partly free",NA,NA,NA,NA
"20","India",5677.702944,18,"Free","Yes",9,"9","0"
"21","Iraq",14895.39198,7.1,"Unfree","No",6,"6","0"
"22","Japan",34996.32446,78.21,"Free","Yes",10,"10","0"
"23","Jordan",9082.544032,44,"Unfree","No",-3,"2","5"
"24","Kazakhstan",21277.70637,50.6,"Unfree","No",-6,"0","6"
"25","Kuwait",76667.70633,75.46,"Partly free","No",-7,"0","7"
"26","Kyrgyzstan",2920.60321,17.5,"Partly free","Yes",8,"8","0"
"27","Lebanon",14565.7376,70.5,"Partly free","No",6,"6","0"
"28","Libya",NA,17.76,"Unfree","No",NA,NA,NA
"29","Malaysia",23007.12867,65.8,"Partly free","No",5,"6","1"
"30","Mexico",16457.09495,39.75,"Partly free","Yes",8,"8","0"
"31","Morocco",6688.402606,46.1074826,"Partly free","No",-4,"1","5"
"32","Netherlands",46707.26971,92.85999236,"Free","Yes",10,"10","0"
"33","New Zealand",32734.53667,81.23,"Free","Yes",10,"10","0"
"34","Nigeria",5259.295504,28.43,"Partly free","Yes",7,"8","1"
"35","Pakistan",4447.90271,9.96,"Partly free","Yes",7,"7","0"
"36","Palestine",NA,NA,"Partly free",NA,NA,NA,NA
"37","Peru",11145.5119,38.2,"Free","Yes",9,"9","0"
"38","Philippines",6099.120754,36.2351,"Partly free","Yes",8,"8","0"
"39","Poland",23832.72702,62.30999727,"Free","Yes",10,"10","0"
"40","Qatar",122609.4108,69,"Unfree","No",-10,"0","10"
"41","Romania",18983.33068,45.87999425,"Free","Yes",9,"9","0"
"42","Russia",24074.36458,49,"Unfree","No",4,"5","1"
"43","Rwanda",1535.482646,8.023854277,"Unfree","No",-3,"0","3"
"44","Singapore",77429.42954,72,"Partly free","No",-2,"2","4"
"45","Slovenia",28804.70152,67.33999481,"Free","Yes",10,"10","0"
"46","South Africa",12879.59134,46.5,"Free","No",9,"9","0"
"47","South Korea",30376.87182,83.7,"Free","Yes",8,"8","0"
"48","Spain",32067.19245,67.6,"Free","Yes",10,"10","0"
"49","Sweden",43755.06044,92.76998606,"Free","Yes",10,"10","0"
"50","Taiwan",NA,NA,"Free","Yes",NA,NA,NA
"51","Thailand",15293.25799,28.94,"Partly free","Yes",3,"4","1"
"52","Trinidad and Tobago",30628.54176,48.5,"Free","Yes",10,"10","0"
"53","Tunisia",10947.91384,43.8,"Partly free","No",7,"7","0"
"54","Turkey",19660.88949,43.06571043,"Partly free","Yes",-4,"0","4"
"55","Ukraine",8281.867126,28.70826284,"Partly free","Yes",4,"5","1"
"56","United States",49790.66548,69.72946076,"Free","Yes",10,"10","0"
"57","Uruguay",17904.74582,51.40466106,"Free","Yes",10,"10","0"
"58","Uzbekistan",4469.997484,30.2,"Unfree","No",-9,"0","9"
"59","Yemen",3967.937833,22.55,"Unfree","No",3,NA,NA
"60","Zimbabwe",1882.237978,17.09,"Unfree","No",4,"5","1"
