"","Extraversion","logsalary","BetterLife","JobSat"
"1","In real life (in person)",11.0186291595489,"Yes","Slightly satisfied"
"2","In real life (in person)",11.4075649604235,"Yes","Very satisfied"
"3","Online",11.5424842769205,"Yes","Very dissatisfied"
"4","In real life (in person)",11.1418617980721,"Yes","Slightly satisfied"
"5","In real life (in person)",11.6439537361486,"Yes","Very satisfied"
"6","In real life (in person)",11.5548904955758,"Yes","Slightly satisfied"
"7","Online",13.9527857596568,"Yes","Slightly satisfied"
"8","In real life (in person)",9.03598710387902,"Yes","Very satisfied"
"9","Online",11.289781926156,"Yes","Very dissatisfied"
"10","Online",11.9576112926419,"Yes","Very satisfied"
"11","Online",NA,"No","Slightly satisfied"
"12","In real life (in person)",12.0725412586199,"Yes","Slightly satisfied"
"13","In real life (in person)",NA,"Yes","Slightly satisfied"
"14","In real life (in person)",12.1388639011843,"Yes","Very satisfied"
"15","In real life (in person)",11.0020998578709,"No","Very satisfied"
"16","In real life (in person)",10.7642655956217,"No","Slightly satisfied"
"17","In real life (in person)",15.5891311243088,"Yes","Very satisfied"
"18","Online",11.0974100361601,"Yes","Very satisfied"
"19","Online",11.2252434058518,"Yes","Slightly dissatisfied"
"20","Online",11.5129254749702,"Yes","Very satisfied"
"21","Online",11.6082356538655,"Yes","Very satisfied"
"22","In real life (in person)",11.1087095912438,"Yes","Slightly satisfied"
"23","In real life (in person)",15.078305500656,"No","Slightly satisfied"
"24","In real life (in person)",10.7144177909747,"Yes","Very satisfied"
"25","In real life (in person)",11.8493977087343,"No","Very dissatisfied"
"26","Online",11.5129254749702,"Yes","Slightly satisfied"
"27","In real life (in person)",NA,"No","Slightly satisfied"
"28","Online",10.1658518554652,"No","Slightly dissatisfied"
"29","In real life (in person)",11.0020998578709,"Yes","Slightly satisfied"
"30","Online",11.5711943825282,"Yes","Very satisfied"
"31","In real life (in person)",11.0348896801563,"Yes","Slightly satisfied"
"32","In real life (in person)",11.3290026388285,"Yes","Very satisfied"
"33","In real life (in person)",11.1562505353172,"Yes","Very satisfied"
"34","In real life (in person)",12.1007121354279,"Yes","Slightly satisfied"
"35","In real life (in person)",NA,"Yes","Slightly satisfied"
"36","In real life (in person)",13.7746885644857,"Yes","Slightly satisfied"
"37","In real life (in person)",11.9183905797451,"Yes","Slightly dissatisfied"
"38","Online",15.7817242313949,"Yes","Slightly satisfied"
"39","Online",7.86601141543405,"Yes","Neither satisfied nor dissatisfied"
"40","Online",11.1562505353172,"No","Slightly dissatisfied"
"41","Online",11.3385720897302,"Yes","Very satisfied"
